timestamp,value,plant_line
2024-09-22T15:30:00Z,4,Cream Packing Line 1
2024-09-22T15:36:00Z,4,Cream Packing Line 1
2024-09-22T15:42:00Z,4,Cream Packing Line 1
2024-09-22T15:48:00Z,4,Cream Packing Line 1
2024-09-22T15:54:00Z,4,Cream Packing Line 1
2024-09-22T16:00:00Z,1,Cream Packing Line 1
2024-09-22T16:01:00Z,4,Cream Packing Line 1
2024-09-22T16:06:00Z,4,Cream Packing Line 1
2024-09-22T16:10:00Z,1,Cream Packing Line 1
2024-09-22T16:12:00Z,1,Cream Packing Line 1
2024-09-22T16:18:00Z,1,Cream Packing Line 1
2024-09-22T16:21:00Z,4,Cream Packing Line 1
2024-09-22T16:22:00Z,1,Cream Packing Line 1
2024-09-22T16:24:00Z,1,Cream Packing Line 1
2024-09-22T16:30:00Z,1,Cream Packing Line 1
2024-09-22T16:36:00Z,1,Cream Packing Line 1
2024-09-22T16:37:00Z,5,Cream Packing Line 1
2024-09-22T16:42:00Z,5,Cream Packing Line 1
2024-09-22T16:48:00Z,5,Cream Packing Line 1
2024-09-22T16:54:00Z,5,Cream Packing Line 1
2024-09-22T17:00:00Z,5,Cream Packing Line 1
2024-09-22T17:06:00Z,5,Cream Packing Line 1
2024-09-22T17:12:00Z,5,Cream Packing Line 1
2024-09-22T17:18:00Z,5,Cream Packing Line 1
2024-09-22T17:24:00Z,5,Cream Packing Line 1
2024-09-22T17:30:00Z,5,Cream Packing Line 1
2024-09-22T17:36:00Z,5,Cream Packing Line 1
2024-09-22T17:42:00Z,5,Cream Packing Line 1
2024-09-22T17:48:00Z,5,Cream Packing Line 1
2024-09-22T17:52:00Z,1,Cream Packing Line 1
2024-09-22T17:54:00Z,1,Cream Packing Line 1
2024-09-22T18:00:00Z,1,Cream Packing Line 1
2024-09-22T18:06:00Z,1,Cream Packing Line 1
2024-09-22T18:12:00Z,1,Cream Packing Line 1
2024-09-22T18:18:00Z,1,Cream Packing Line 1
2024-09-22T18:24:00Z,1,Cream Packing Line 1
2024-09-22T18:30:00Z,1,Cream Packing Line 1
2024-09-22T18:36:00Z,1,Cream Packing Line 1
2024-09-22T18:42:00Z,1,Cream Packing Line 1
2024-09-22T18:48:00Z,1,Cream Packing Line 1
2024-09-22T18:54:00Z,1,Cream Packing Line 1
2024-09-22T19:00:00Z,1,Cream Packing Line 1
2024-09-22T19:06:00Z,1,Cream Packing Line 1
2024-09-22T19:12:00Z,1,Cream Packing Line 1
2024-09-22T19:18:00Z,1,Cream Packing Line 1
2024-09-22T19:24:00Z,1,Cream Packing Line 1
2024-09-22T19:30:00Z,1,Cream Packing Line 1
2024-09-22T19:36:00Z,1,Cream Packing Line 1
2024-09-22T19:42:00Z,1,Cream Packing Line 1
2024-09-22T19:48:00Z,1,Cream Packing Line 1
2024-09-22T19:54:00Z,1,Cream Packing Line 1
2024-09-22T20:00:00Z,1,Cream Packing Line 1
2024-09-22T20:06:00Z,1,Cream Packing Line 1
2024-09-22T20:12:00Z,1,Cream Packing Line 1
2024-09-22T20:18:00Z,1,Cream Packing Line 1
2024-09-22T20:24:00Z,1,Cream Packing Line 1
2024-09-22T20:30:00Z,1,Cream Packing Line 1
2024-09-22T20:36:00Z,1,Cream Packing Line 1
2024-09-22T20:42:00Z,1,Cream Packing Line 1
2024-09-22T20:48:00Z,1,Cream Packing Line 1
2024-09-22T20:54:00Z,1,Cream Packing Line 1
2024-09-22T21:00:00Z,1,Cream Packing Line 1
2024-09-22T21:06:00Z,1,Cream Packing Line 1
2024-09-22T21:12:00Z,1,Cream Packing Line 1
2024-09-22T21:18:00Z,1,Cream Packing Line 1
2024-09-22T21:24:00Z,1,Cream Packing Line 1
2024-09-22T21:30:00Z,1,Cream Packing Line 1
2024-09-22T21:36:00Z,1,Cream Packing Line 1
2024-09-22T21:42:00Z,1,Cream Packing Line 1
2024-09-22T21:48:00Z,1,Cream Packing Line 1
2024-09-22T21:54:00Z,1,Cream Packing Line 1
2024-09-22T22:00:00Z,1,Cream Packing Line 1
2024-09-22T22:06:00Z,1,Cream Packing Line 1
2024-09-22T22:12:00Z,1,Cream Packing Line 1
2024-09-22T22:18:00Z,1,Cream Packing Line 1
2024-09-22T22:24:00Z,1,Cream Packing Line 1
2024-09-22T22:30:00Z,1,Cream Packing Line 1
2024-09-22T22:36:00Z,1,Cream Packing Line 1
2024-09-22T22:42:00Z,1,Cream Packing Line 1
